pt_tau_1_regress,pt_tau_2_regress
226.72313,114.100975
73.54101,60.78576
62.314644,61.19671
63.872982,64.225716
60.38239,61.30144
85.764946,68.57871
151.9258,81.37805
174.80075,64.92947
82.20699,70.599045
169.83691,133.31396
70.63985,66.316246
77.75034,54.201786
127.9565,73.68163
60.876,53.391663
117.71656,76.99808
162.84662,138.5215
211.44084,73.72331
61.252056,54.799374
131.22723,64.666756
117.755226,59.059002
68.25852,71.50583
167.96231,136.3548
83.045204,57.413776
120.9859,70.03247
64.26992,50.39409
100.37231,65.22101
100.17763,53.940247
75.26695,54.060825
67.47092,54.89487
58.316334,58.60808
62.690105,56.056232
88.201225,52.63448
113.14497,81.94139
56.416973,58.996136
79.846405,57.384583
53.083584,51.054676
55.125572,53.77951
99.636185,60.93935
54.033176,52.972004
86.42869,61.928627
74.03547,51.72296
60.42207,54.928932
140.66505,125.511024
146.11374,57.734818
64.754684,69.83557
215.91348,161.26022
120.76578,99.48415
155.49307,62.929405
71.10955,59.558407
65.49995,65.58907
76.81007,60.263573
140.89365,63.917057
70.25017,63.496246
66.28636,54.46788
63.6865,54.62822
266.29626,91.76583
235.96623,113.44973
67.28246,53.642315
79.011185,61.902225
63.06344,58.208725
77.49246,77.73481
81.27264,89.84783
78.08186,81.526215
57.960068,44.02627
70.061455,49.626743
81.05528,48.510654
65.46233,59.423466
133.6444,65.89666
136.87413,111.9414
66.16426,71.69162
50.658104,48.176598
58.982983,55.994072
58.443893,55.62248
61.63801,59.417328
109.38025,79.15348
75.06926,70.107956
57.990524,50.762474
120.19478,56.68487
70.97368,67.464134
96.03245,88.37877
72.88112,59.553734
179.46844,143.69229
67.761505,60.66075
88.23598,63.86055
326.26355,89.19648
84.14205,65.1787
55.453773,53.17247
65.44831,45.187817
57.25639,50.518463
62.530396,62.261475
67.21009,62.41453
142.91394,95.47664
55.488274,58.649143
201.85167,114.03599
68.175476,65.49495
68.33813,60.22231
75.22149,57.584244
54.27082,60.032146
64.30182,61.831535
62.5387,49.576466
128.34402,96.169014
58.25628,50.28727
112.3204,88.15419
68.60828,61.631454
64.03846,52.450203
59.941757,56.230217
66.02766,59.255543
73.28615,52.957672
160.56747,140.08435
143.30513,90.59387
65.48642,52.729137
64.747765,62.724014
72.23119,52.103058
80.282005,77.78689
140.56905,96.89299
62.738316,64.93573
140.10527,129.20279
81.02738,50.64394
144.02554,78.14196
70.29336,68.4834
63.0636,54.66771
103.34035,78.23883
288.3538,83.171646
78.062485,71.11474
285.52933,157.46921
137.65416,69.024025
97.83732,71.80946
64.393394,65.92052
50.18567,50.83074
119.68692,62.636356
64.934456,64.840454
74.51322,49.154404
75.64695,63.616207
59.76831,52.336617
73.196625,53.888374
196.25966,67.32995
105.29922,83.54992
63.28618,52.45376
68.41928,61.72045
58.81831,62.68564
60.627834,51.575714
75.07057,50.405888
53.145126,58.164124
148.01309,71.40433
